列1,列2,列3,列4,列5,列6,列7,列8,列9,列10,列11,列12,列13
雅妈优选,待评价,【现货】臭宝螺蛳粉350g两包酸笋竹柳州螺狮粉广西螺丝粉米粉浓汤,"臭宝爆浓汤螺丝粉350g(2包酸笋),3袋【螺蛳粉】",￥32,×1,退货包运费保障中,先用后付 实付:￥27(免运费),立即评价,再次拼单,申请退款,更多,27
网诺笠铭专卖店,待评价,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"4号：8*12厘米,20丝白边100只【特厚】",￥4.33,×1,退货包运费保障中,先用后付 实付:￥4.33(免运费),立即评价,再次拼单,申请退款,更多,4.33
钦阳袋业,待评价,被子防尘袋搬家打包带袋手提收纳袋行李旅行袋防潮大容量加厚加大,"中号：长58*高40*侧宽25CM,【彩带加厚无纺布】军绿色",￥5.5,×1,退货包运费保障中,先用后付 实付:￥5.5(免运费),立即评价,再次拼单,申请退款,更多,5.5
平运科技,待评价,复制门禁卡2号ID卡复刻电子钥匙扣小区公寓出租房门禁定制万能扣,ID穿防火墙卡【4个特惠】需联系客服,￥15.11,×1,退货包运费保障中,先用后付 实付:￥15.11(免运费),立即评价,再次拼单,申请退款,更多,15.11
小脑斧优品,交易成功,粘春联对联专用无痕无残留透明双面胶年画婚车婚房不留胶易撕胶带,"18.1毫米宽*15.1米长+,1卷装",￥3.04,×1,退货包运费保障中,先用后付 实付:￥3.04(免运费),再次拼单,追加评价,申请退款,更多,3.04
酒店宾馆房卡订制,交易成功,取电卡万能通用型酒店宾馆房卡感应卡片插卡取电门卡高低频复合卡,取电卡【古风彩卡】,￥5.5,×1,退货包运费保障中,先用后付 实付:￥4.5(免运费),再次拼单,追加评价,申请退款,更多,4.5
麟瑞生活日用百货,交易成功,化妆刷收纳桶 刷桶刷子盒眉笔收纳盒筒化妆收纳化妆品口红置物架,带盖旋转笔筒【2个装】,￥15.99,×1,退货包运费保障中,实付:￥15.99(免运费),再次拼单,追加评价,申请退款,更多,15.99
军创运动户外专营店,交易成功,军创烧烤炉烧烤架子家用户外木炭烤肉折叠全套烧炭大小号野外工具,50长*16宽烤炉+礼品,￥41.5,×1,退货包运费保障中,先用后付 实付:￥32.5(免运费),再次拼单,追加评价,申请退款,更多,32.5
网诺笠铭专卖店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"3号：7*10厘米,16丝白边100只【加厚】",￥2.51,×1,退货包运费保障中,实付:￥2.36(免运费),再次拼单,追加评价,申请退款,更多,2.36
网诺笠铭专卖店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"2号：6*8厘米,16丝白边100只【加厚】",￥2.3,×1,退货包运费保障中,实付:￥2.17(免运费),再次拼单,追加评价,申请退款,更多,2.17
果真汇零食官方旗舰店,交易成功,水果味切片糖网红创意手工糖混合水果味棒棒糖散装喜糖果零食批发,250克（约110颗）,￥5.9,×1,先用后付 实付:￥5.9(免运费),再次拼单,追加评价,申请退款,更多,,5.9
灿业商贸,交易成功,六类千兆网线高速电脑水晶头百兆五类0.5米100米路由器监控网络线,"百兆稳定款【黑色】,5米",￥7.36,×1,先用后付 实付:￥2.36(免运费),再次拼单,追加评价,申请退款,更多,,2.36
小蝴蝶文化用品,交易成功,不干胶标签贴纸分类手写标签贴纸口取纸姓名贴纸小标签贴纸标价贴,"10张,403蓝（29*20mm）",￥2.79,×1,退货包运费保障中,实付:￥0.79(免运费),再次拼单,追加评价,申请退款,更多,0.79
笠铭创意礼品专营店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"1号：5*7cm,16丝白边100只【加厚】",￥1.89,×1,实付:￥1.89(免运费),再次拼单,追加评价,申请退款,更多,,1.89
笠铭创意礼品专营店,交易成功,加厚透明自封袋小号塑封口袋子保鲜收纳食品密封袋塑料PE大包装袋,"0号：4*6cm,12丝白边100只【推荐】",￥1.16,×1,先用后付 实付:￥1.16(免运费),再次拼单,追加评价,申请退款,更多,,1.16
梦梦乡乡,已评价,免打孔挂钩超强力自粘挂壁式墙上无痕厨房卫生间浴室通用透明粘钩,UV胶固化超牢3层强化【100装】,￥14.7,×1,退货包运费保障中,先用后付 实付:￥9.7(免运费),再次拼单,追加评价,申请退款,更多,9.7
小俊哥食品专营店,交易成功,嘻螺会螺蛳粉原味爆款300g广西柳州正宗螺狮粉整箱批发螺丝粉,"10年老牌子嘻螺会,1袋麻辣（拍5件发5袋更划算）",￥6.66,×3,退货包运费保障中,实付:￥15.87(免运费),再次拼单,追加评价,申请退款,更多,15.87
小俊哥食品专营店,交易成功,嘻螺会螺蛳粉原味爆款300g广西柳州正宗螺狮粉整箱批发螺丝粉,"10年老牌子嘻螺会,1袋原味（拍5件发5袋更划算）",￥6.29,×2,退货包运费保障中,实付:￥10(免运费),再次拼单,追加评价,申请退款,更多,10
悠居坊,交易成功,透明塑料罐子密封罐食品级储物罐带盖五谷杂粮干果茶叶PET瓶批发,"厚85*85mm【450ml】,1个【含封片+标签】【破损漏水赔】",￥1.09,×1,退货包运费已失效,实付:￥1.09(免运费),再次拼单,追加评价,申请退款,更多,1.09
唯美日化小铺,交易成功,N9发膜免蒸修护毛燥干枯护理倒膜滑溜溜顺滑护发素焗油膏烫染头发,原装正品N9 发膜（理发店同款）,￥21.56,×1,退货包运费已失效,先用后付 实付:￥18.56(免运费),再次拼单,追加评价,申请退款,更多,18.56
聚优达居家日用品店,交易成功,不锈钢不掉渣钢丝球刷锅洗锅刷碗洗碗手柄刷子清洁球批发厨房神器,"掉渣包赔【大号】,一个球【无赠品】",￥1.01,×1,退货包运费已失效,实付:￥1.01(免运费),再次拼单,追加评价,申请退款,更多,1.01
绍坤包装材料,交易成功,加厚自封袋食品塑料包装袋可爱透明袋子小号塑封口袋密封袋子大号,"4.5号【宽9cm*高13cm】,薄【6丝】100只",￥1.65,×1,退货包运费已失效,实付:￥1.65(免运费),再次拼单,售后详情,追加评价,更多,1.65
新爵办公用品专营店,交易成功,20个装得力信封3 5 7号A4牛皮纸信封厚信封白色信封邮局信封邮寄,7号牛皮纸信封10个装,￥3.25,×1,实付:￥3.25(免运费),再次拼单,追加评价,申请退款,更多,,3.25
久和通讯,交易成功,适用OPPOreno后盖原装后盖曲屏RenoZ后壳原厂手机后玻璃盖 背屏,"后盖带散热贴 密封胶,RenoZ【星辰紫】 送工具 胶水",￥32,×1,退货包运费已失效,先用后付 实付:￥32(免运费),再次拼单,追加评价,申请退款,更多,32
嘻螺会旗舰店,交易成功,【尝鲜大礼包】嘻螺会柳州螺蛳粉广西特产螺丝粉方便面米线3袋,【经典三味】原味+浓汤+麻辣,￥19.5,×1,退货包运费已失效,先用后付 实付:￥12.5(免运费),再次拼单,申请退款,查看物流,删除订单,12.5
