日期,订单号,店铺,商品,商品详情,列1,价格,列2,列3,列4,列5,交易状态3,交易状态2,交易状态1,交易状态4,交易状态5,列11,列12,列13,列14,列15,列16,列17,列18,列19,列20,列21,列22,列23,列24,列25,列26,列27,列28,列29,列30,列31,列32,列33,列34,列35,列36,列37,列38,列39,列40,列41,列42,列43,列44,列45,列46,列47,列48,列49,列50,列51,列52,列53,列54
2023/1/11,订单号: 1795579861104658774,腾飞腾达数码专营店,腾飞hdmi转dvi线限时优惠中 [交易快照],颜色分类：加粗线芯-工程推荐长度：1米,发货时间：01月13日 15:18前发货,￥29.00,￥11.90,1,查看退款,投诉商家,￥6.90,(含运费：￥0.00),交易关闭,订单详情,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/11,订单号: 1795525502988658774,川渝美食特产批发零售,重庆直发正宗烧烤苕皮Q弹软糯 [交易快照],净含量：苕皮2.6斤约17张（15x18cm）,发货时间：01月13日 13:47前发货,￥19.90,￥11.80,1,申请售后,投诉卖家,￥11.45,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,评价,再次购买,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/10,订单号: 1794159480796658774,华源医疗用品店,澳佳葆否皮肤大容量消毒液上新装 [交易快照],净含量：2000ml套餐类型：套餐一,发货时间：01月22日 14:02前发货,￥86.00,￥49.80,1,投诉卖家,￥24.82,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/9,订单号: 1793196948663658774,小贝家DIY饰品材料店,2023兔年灯笼儿童手提灯笼材料包 [交易快照],颜色分类：国风兔子灯笼【福兔款】,发货时间：01月14日 16:18前发货，受疫情影响，物流时效可能延迟,￥17.60,￥8.80,1,查看退款,投诉卖家,运费险已出单,￥7.75,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/7,订单号: 1791478416851658774,大自然特产商城,纯可可脂俄罗斯原装进口黑巧克力 [交易快照],食品口味：26块无蔗糖【99%逆天苦】140g,发货时间：01月09日 17:27前发货,￥37.80,￥18.90,1,申请售后,投诉卖家,￥16.45,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,对方已评,评价,再次购买,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/7,订单号: 1790985972114658774,简简单单玩具旗舰店,兔兔毛绒布艺羽绒棉可爱变装兔 [交易快照],颜色分类：变装兔&mdash：胡萝卜高度：30厘米【超软羽绒棉填充】,￥58.00,￥29.00,1,申请售后,投诉商家,运费险已出单,￥23.11,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,评价,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/24,订单号: 1779193887011658774,云朵资料屋,22下教资面试小学初中高中语文数学英语结构化逐字稿网课视频课程 [交易快照],付款方式：初中类型：生物,发货时间：12月26日 21:52前发货,￥6.66,1,申请售后,投诉卖家,￥6.47,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/24,订单号: 1778434356742658774,好学上教育,2023卢姨幼儿园小学初高中语文数学英语美术教资面试押题课程网课 [交易快照],付款方式：2023初中面试类型：生物,发货时间：12月26日 21:40前发货,￥6.90,1,查看退款,申请售后,投诉卖家,￥6.90,(含运费：￥0.00),交易成功,订单详情,查看物流,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/23,订单号: 1778028746921658774,嘻螺会食品旗舰店,双倍辣螺蛳粉315g*5袋柳州 [交易快照],口味：双倍辣315g*5包,发货时间：12月30日 15:02前发货,￥65.00,￥36.80,1,申请售后,￥30.80,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,双方已评,追加评论,再次购买,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/14,订单号: 1769337048982658774,豫佳工厂直营,95度酒精拔罐工业酒精火疗拔罐专用火锅大桶装工业酒精95%清洁 [交易快照],净含量：2000ml,发货时间：01月22日 14:02前发货,￥22.90,￥17.60,1,投诉卖家,退运保险,￥17.60,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/13,订单号: 1769095382254658774,爱尚素材铺,2022车载音乐下载包无损音源抖音流行DJ热门MP3新歌曲MV免费下载 [交易快照],发货时间：12月16日 22:08前发货,￥0.88,￥0.66,1,申请售后,投诉卖家,￥0.66,(含运费：￥0.00),交易成功,订单详情,查看物流,双方已评,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/11,订单号: 1766500142278658774,子奕旗舰店,【双12价】北欧ins风简约幻彩玻璃花瓶水培鲜花插花小花瓶客厅水养创意摆件 [交易快照],颜色分类：北欧款大号（电镀七彩）尺寸：中等,￥25.60,￥12.80,1,申请售后,运费险已出单,￥11.42,(含运费：￥0.00),交易成功,订单详情,查看物流,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/8,订单号: 1760524716517658774,阿里健康大药房,原始人3d立体口罩医用外科一次性医疗正品不花妆单独立包装黑白色 [交易快照],颜色分类：3D立体显瘦【M码30只白色独立装】医用外科口罩,￥49.00,￥14.80,1,申请售后,退运保险,￥11.80,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/8,订单号: 1761177723778658774,阿里健康大药房,原始人3d立体口罩医用外科一次性医疗正品不花妆单独立包装黑白色 [交易快照],颜色分类：3D立体显瘦【M码60只白色独立装】医用外科口罩,￥89.00,￥28.80,1,违规举报,退运保险,￥25.80,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/7,订单号: 1760251368684658774,皇颂旗舰店,羽绒棉摩托车挡风冬季骑行护腿 [交易快照],颜色分类：70cm魔术贴反光条护脚踝（收藏下单送手套）,￥138.00,￥69.00,1,申请售后,运费险已出单,￥69.00,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/5,订单号: 1758302439893658774,健美创研旗舰店,【佳埼推荐】3包,加大加厚洗脸巾 [交易快照],颜色分类：3包装-【加厚款珍珠纹50片】,￥38.00,￥13.80,1,申请售后,￥13.80,(含运费：￥0.00),交易成功,订单详情,查看物流,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/4,订单号: 1757833862210658774,龙邮天际,mail.ru [交易快照],￥1.00,1,查看退款,申请售后,投诉卖家,￥1.00,(含运费：￥0.00),交易成功,订单详情,查看物流,追加评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/3,订单号: 1757285761847658774,LXS STUDIO,LXS STUDIO 米色雪尼尔重磅裤子男加绒加厚直筒垂感阔腿拖地长裤 [交易快照],颜色：米色加绒尺码：L,发货时间：01月22日 14:02前发货,￥338.00,￥115.00,1,投诉卖家,退运保险,￥112.44,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/23,订单号: 1747148376678658774,景也旗舰店,新骨瓷日式大众易清洗耐高温 [交易快照],颜色分类：黑线山田8英寸汤碗1只装+大汤勺1个,￥29.60,￥14.80,1,违规举报,￥14.80,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/22,订单号: 1747300154555658774,莱之美医疗器械专营店,亿信成人医疗一次性外科口罩三层 [交易快照],颜色分类：50只【深蓝色】独立包装1个1包,￥26.00,￥24.80,1,申请售后,运费险已出单,￥23.80,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,双方已评,追加评论,再次购买,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/12,订单号: 1737980835594658774,云蕾居家日用旗舰店,云蕾一次性防水美容院专用染发帽 [交易快照],颜色分类：100只装（盒装）,￥25.90,￥15.90,1,申请售后,运费险已出单,￥12.90,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,双方已评,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/11,订单号: 3025430496693658774,天猫超市,白象国产大辣娇韩式火鸡面119g*5袋网红速食夜宵方便泡面非螺狮粉,购买规格：1件,￥16.80,￥15.90,1,申请售后,￥12.43,(含运费：￥6.00),交易成功,订单详情,花呗账单,查看物流,双方已评,追加评论,再次购买,申请开票,发货清单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/11,订单号: 3026091925209658774,天猫超市,云蕾一次性浴帽 防水成人女款头套帽加厚洗澡淋浴帽染发帽100只,购买规格：1件,￥19.90,1,违规举报,￥10.93,(含运费：￥6.00),交易关闭,订单详情,再次购买,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/11,订单号: 3026075725628658774,云蕾居家日用旗舰店,云蕾一次性防水美容院专用染发帽 [交易快照],颜色分类：100只装（盒装）,￥25.90,￥14.31,1,违规举报,退运保险,￥14.31,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/11,订单号: 3025346004520658774,今麦郎旗舰店,今麦郎非油炸牛肉板面 [交易快照],口味：板面混装6桶（卤香*2+麻辣*2+香辣*2）,发货时间：11月16日 22:52前发货，受疫情影响，物流时效可能延迟,￥58.90,￥29.60,1,查看退款,投诉商家,运费险已出单,￥28.60,(含运费：￥0.00),交易关闭,订单详情,再次购买,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/11,订单号: 3022612563054658774,卡宾男鞋旗舰店,Cabbeen/卡宾一帆风顺拼色高帮鞋 [交易快照],颜色分类：青色尺码：42[比运动鞋偏大一码],￥788.00,￥422.00,1,违规举报,退运保险,￥372.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,订单号: 1734296628632658774,喵速达电器官方旗舰店,【阿里官方自营】苹果Apple 13 [交易快照],机身颜色：星光色存储容量：128GB网络类型：无需合约版套餐类型：官方标配版本类型：中国大陆,￥5399.00,1,违规举报,退运保险,￥4649.00,(含运费：￥0.00),交易关闭,订单详情,增值服务：原厂保修 原厂保修服务,服务内容：原厂保修服务,￥0.00,1,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,订单号: 1734879145773658774,珍行足衣旗舰店,纯棉袜子珍行足衣保暖男 [交易快照],颜色分类：买家自选5双（无备注留言随机发）尺码：适合38-44码【收藏加购送运费险】,￥99.00,￥53.10,1,查看退款,投诉商家,运费险已出单,￥43.37,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,订单号: 1734879145774658774,健美创研旗舰店,5包,加大加厚,纯棉不掉絮,洗脸巾 [交易快照],颜色分类：5包（洗脸巾50片）+2包（压缩浴巾）,￥68.00,￥26.90,1,申请售后,退运保险,￥21.97,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,双方已评,追加评论,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,订单号: 1734879145775658774,百茂旗舰店,网红好柿发生毛绒钥匙扣 [交易快照],颜色分类：桃你欢心粉双面字牌+粉桃毛线挂件,￥23.60,￥10.62,1,申请售后,退运保险,￥16.75,(含运费：￥0.00),交易成功,订单详情,花呗账单,查看物流,双方已评,申请开票,追加评论,网红好柿发生毛绒钥匙扣 [交易快照],颜色分类：毛线香橙挂件（前程似锦）,￥23.60,￥10.62,1,申请售后,退运保险,追加评论,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
